lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
acl,acl_auto,i8,GT_L2,2048,2048,512,4,9216.0,1,1352.726,ok,selected=a64_interleaved_s8s32_mmla_8x12; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,512,4,14354.0,1,622.357,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,512,4,9238.0,1,1234.036,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,512,8,14336.0,1,1256.41,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,512,8,9216.0,1,1971.04,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,512,8,14336.0,1,808.79,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,512,8,9216.0,1,1512.61,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,512,8,9216.0,1,1087.91,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,512,8,14336.0,1,1154.930,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,512,8,9216.0,1,2443.666,ok,selected=a64_interleaved_s8s32_mmla_8x12; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,512,8,14354.0,1,1018.816,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,512,8,9238.0,1,2118.909,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,1024,1,20480.0,1,277.12,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,1024,1,14336.0,1,490.57,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,1024,1,20480.0,1,176.54,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,1024,1,14336.0,1,305.06,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,1024,1,14336.0,1,193.08,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,1024,1,20480.0,1,249.741,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,1024,1,14336.0,1,490.792,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,2048,2048,1024,1,20516.0,1,231.051,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,2048,2048,1024,1,14364.0,1,433.982,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,2048,2048,1024,2,20480.0,1,401.71,ok,
i8gemm,i8gemm_sve,i8,GT_L2,2048,2048,1024,2,14336.0,1,833.45,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,2048,2048,1024,2,20480.0,1,268.22,ok,
i8gemm,i8gemm_neon,i8,GT_L2,2048,2048,1024,2,14336.0,1,543.59,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,2048,2048,1024,2,14336.0,1,375.79,ok,
acl,acl_auto,bf16,GT_L2,2048,2048,1024,2,20480.0,1,416.565,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,2048,2048,1024,2,14336.0,1,828.271,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
