impl,dtype,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_own_peak,pct_of_own_peak_xthreads
sve,i8,H2,64,512,512,1,1,416.0,120,385.79,58.15,58.15
neon,i8,H2,64,512,512,1,1,416.0,120,409.77,62.09,62.09
sve,i8,GT_L2,64,512,4096,1,1,3104.0,60,389.87,58.77,58.77
neon,i8,GT_L2,64,512,4096,1,1,3104.0,60,354.83,53.76,53.76
sve,i8,GT_L2,512,512,4096,1,1,10496.0,40,315.48,47.55,47.55
neon,i8,GT_L2,512,512,4096,1,1,10496.0,40,358.45,54.31,54.31
sve,i8,GT_L2,2048,512,4096,1,1,35840.0,15,211.95,31.95,31.95
neon,i8,GT_L2,2048,512,4096,1,1,35840.0,15,361.87,54.83,54.83
