variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
sve_f32_batch4,f32,GT_L2,512,4096,1024,4,57344.0,10,640.57,194.11,48.53,1,4
sve_f32_batch16,f32,GT_L2,512,4096,1024,4,229376.0,10,641.65,194.44,48.61,1,16
neon_f32_batch1,f32,GT_L2,512,4096,1024,4,14336.0,10,458.00,138.79,34.70,1,1
neon_f32_batch4,f32,GT_L2,512,4096,1024,4,57344.0,10,455.48,138.02,34.51,1,4
neon_f32_batch16,f32,GT_L2,512,4096,1024,4,229376.0,10,455.64,138.07,34.52,1,16
sve_f32_batch1,f32,GT_L2,512,4096,1024,8,14336.0,10,1218.91,369.37,46.17,1,1
sve_f32_batch4,f32,GT_L2,512,4096,1024,8,57344.0,10,1214.18,367.93,45.99,1,4
sve_f32_batch16,f32,GT_L2,512,4096,1024,8,229376.0,10,1211.40,367.09,45.89,1,16
neon_f32_batch1,f32,GT_L2,512,4096,1024,8,14336.0,10,926.62,280.79,35.10,1,1
neon_f32_batch4,f32,GT_L2,512,4096,1024,8,57344.0,10,891.72,270.22,33.78,1,4
neon_f32_batch16,f32,GT_L2,512,4096,1024,8,229376.0,10,893.47,270.75,33.84,1,16
sve_f32_batch1,f32,GT_L2,2048,4096,64,8,17408.0,10,1258.00,381.21,47.65,1,1
sve_f32_batch4,f32,GT_L2,2048,4096,64,8,69632.0,10,1207.35,365.86,45.73,1,4
sve_f32_batch16,f32,GT_L2,2048,4096,64,8,278528.0,10,1203.11,364.58,45.57,1,16
neon_f32_batch1,f32,GT_L2,2048,4096,64,8,17408.0,10,950.32,287.98,36.00,1,1
neon_f32_batch4,f32,GT_L2,2048,4096,64,8,69632.0,10,933.54,282.89,35.36,1,4
neon_f32_batch16,f32,GT_L2,2048,4096,64,8,278528.0,10,932.46,282.56,35.32,1,16
