shape,impl,m,k,n,threads,gops,util_pct
64x512x512,sve_depcleanup,64,512,512,1,462.25,69.68
64x512x4096,sve_depcleanup,64,512,4096,1,463.26,69.83
512x512x4096,sve_depcleanup,512,512,4096,1,465.06,70.10
2048x512x4096,sve_depcleanup,2048,512,4096,1,419.55,63.24
64x4096x1024,sve_depcleanup,64,4096,1024,1,541.73,81.66
512x4096x1024,sve_depcleanup,512,4096,1024,1,570.26,85.96
