lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
kleidiai,kleidiai_i8_neon_i8mm,i8,H2,64,512,512,1,422.5,1,333.835,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L2,64,512,512,2,704.0,1,203.21,ok,
i8gemm,i8gemm_sve,i8,H2,64,512,512,2,416.0,1,226.77,ok,
i8gemm,i8gemm_neon,bf16,L2,64,512,512,2,704.0,1,158.60,ok,
i8gemm,i8gemm_neon,i8,H2,64,512,512,2,416.0,1,218.65,ok,
i8gemm,i8gemm_neon_m16n4,i8,H2,64,512,512,2,416.0,1,187.96,ok,
acl,acl_auto,bf16,L2,64,512,512,2,704.0,1,411.325,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,H2,64,512,512,2,416.0,1,627.155,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L2,64,512,512,2,710.0,1,210.242,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,H2,64,512,512,2,422.5,1,292.091,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L2,64,512,512,4,704.0,1,163.93,ok,
i8gemm,i8gemm_sve,i8,H2,64,512,512,4,416.0,1,178.94,ok,
i8gemm,i8gemm_neon,bf16,L2,64,512,512,4,704.0,1,136.10,ok,
i8gemm,i8gemm_neon,i8,H2,64,512,512,4,416.0,1,196.44,ok,
i8gemm,i8gemm_neon_m16n4,i8,H2,64,512,512,4,416.0,1,185.13,ok,
acl,acl_auto,bf16,L2,64,512,512,4,704.0,1,664.444,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,H2,64,512,512,4,416.0,1,778.496,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L2,64,512,512,4,710.0,1,183.689,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,H2,64,512,512,4,422.5,1,206.919,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L2,64,512,512,8,704.0,1,124.72,ok,
i8gemm,i8gemm_sve,i8,H2,64,512,512,8,416.0,1,116.26,ok,
i8gemm,i8gemm_neon,bf16,L2,64,512,512,8,704.0,1,86.16,ok,
i8gemm,i8gemm_neon,i8,H2,64,512,512,8,416.0,1,135.02,ok,
i8gemm,i8gemm_neon_m16n4,i8,H2,64,512,512,8,416.0,1,113.18,ok,
acl,acl_auto,bf16,L2,64,512,512,8,704.0,1,880.814,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,H2,64,512,512,8,416.0,1,474.438,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L2,64,512,512,8,710.0,1,120.330,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,H2,64,512,512,8,422.5,1,125.494,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,512,1024,1024,1,5120.0,1,269.78,ok,
i8gemm,i8gemm_sve,i8,GT_L2,512,1024,1024,1,3584.0,1,503.08,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,512,1024,1024,1,5120.0,1,155.05,ok,
i8gemm,i8gemm_neon,i8,GT_L2,512,1024,1024,1,3584.0,1,326.73,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,512,1024,1024,1,3584.0,1,186.43,ok,
acl,acl_auto,bf16,GT_L2,512,1024,1024,1,5120.0,1,241.611,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
