lib,impl,dtype,M,K,N,threads,reps,perf,note
i8gemm,i8gemm_neon_k_ld,i8,512,1024,1024,4,8,758.89,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,512,1024,1024,4,8,1507.550,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,512,1024,1024,4,8,1279.567,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,512,1024,1024,8,8,1326.14,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,512,1024,1024,8,8,2655.470,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,512,1024,1024,8,8,2244.409,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,2048,4096,8192,1,3,295.57,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,2048,4096,8192,1,3,503.548,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,1,3,284.733,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,2048,4096,8192,2,3,369.94,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,2048,4096,8192,2,3,840.489,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,2,3,530.511,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,2048,4096,8192,4,3,661.27,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,2048,4096,8192,4,3,1509.343,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,4,3,983.768,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,2048,4096,8192,8,3,1218.10,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,2048,4096,8192,8,3,2711.410,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,8,3,1818.867,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
