lib,impl,dtype,M,K,N,threads,reps,perf,note
i8gemm,i8gemm_neon_k_reo_ld,i8,512,1024,1024,4,8,1145.12,A/B pack outside timing; direct i8gemm_k_reo_ld .S path
acl,acl_auto,i8,512,1024,1024,4,8,1509.183,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,512,1024,1024,4,8,1277.778,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_reo_ld,i8,512,1024,1024,8,8,2050.30,A/B pack outside timing; direct i8gemm_k_reo_ld .S path
acl,acl_auto,i8,512,1024,1024,8,8,2610.138,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,512,1024,1024,8,8,2274.052,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_reo_ld,i8,2048,4096,8192,1,3,297.13,A/B pack outside timing; direct i8gemm_k_reo_ld .S path
acl,acl_auto,i8,2048,4096,8192,1,3,503.480,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,1,3,284.287,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_reo_ld,i8,2048,4096,8192,2,3,618.72,A/B pack outside timing; direct i8gemm_k_reo_ld .S path
acl,acl_auto,i8,2048,4096,8192,2,3,842.193,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,2,3,531.421,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_reo_ld,i8,2048,4096,8192,4,3,1050.12,A/B pack outside timing; direct i8gemm_k_reo_ld .S path
acl,acl_auto,i8,2048,4096,8192,4,3,1507.470,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,4,3,984.394,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_reo_ld,i8,2048,4096,8192,8,3,1787.05,A/B pack outside timing; direct i8gemm_k_reo_ld .S path
acl,acl_auto,i8,2048,4096,8192,8,3,2756.163,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,2048,4096,8192,8,3,1823.861,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
