lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
acl,acl_auto,i8,GT_L2,1024,1024,1024,4,6144.0,1,1429.998,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,1024,4,8212.0,1,632.169,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,1024,4,6164.0,1,1143.209,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,1024,8,8192.0,1,1148.15,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,1024,8,6144.0,1,1818.56,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,1024,8,8192.0,1,760.24,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,1024,8,6144.0,1,767.55,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,1024,8,6144.0,1,1375.39,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,1024,8,8192.0,1,556.174,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,1024,1024,1024,8,6144.0,1,2102.145,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,1024,8,8212.0,1,827.326,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,1024,8,6164.0,1,1794.861,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,2048,1,14336.0,1,274.06,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,2048,1,11264.0,1,468.47,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,2048,1,14336.0,1,159.39,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,2048,1,11264.0,1,410.31,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,2048,1,11264.0,1,309.52,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,2048,1,14336.0,1,230.188,ok,selected=a64_interleaved_bf16fp32_mmla_8x12; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
