impl,dtype,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_peak,pct_of_peak_xthreads
sve,i8,H2,64,512,512,1,1,416.0,160,393.60,59.33,59.33
neon,i8,H2,64,512,512,1,1,416.0,160,411.36,62.33,62.33
sve,i8,GT_L2,64,512,4096,1,1,3104.0,70,396.28,59.74,59.74
neon,i8,GT_L2,64,512,4096,1,1,3104.0,70,355.57,53.87,53.87
sve,i8,GT_L2,512,512,4096,1,1,10496.0,45,426.82,64.34,64.34
neon,i8,GT_L2,512,512,4096,1,1,10496.0,45,358.79,54.36,54.36
sve,i8,GT_L2,2048,512,4096,1,1,35840.0,18,393.80,59.36,59.36
neon,i8,GT_L2,2048,512,4096,1,1,35840.0,18,363.39,55.06,55.06
